Fonction;ncalls
/usr/lib/python3.12/tkinter/__init__.py:4247:Spinbox;1
main.py:1:<module>;1
/usr/lib/python3.12/tkinter/__init__.py:1476:bind_all;1
/usr/lib/python3.12/subprocess.py:126:CalledProcessError;1
/usr/lib/python3.12/subprocess.py:163:TimeoutExpired;1
/usr/lib/python3.12/tkinter/__init__.py:2299:wm_title;1
/usr/lib/python3.12/tkinter/__init__.py:2497:Place;1
/usr/lib/python3.12/tkinter/__init__.py:170:EventType;1
/usr/lib/python3.12/tkinter/__init__.py:3240:Listbox;1
/home/cedric-mc/public_html/BatailleBoules/avant/upemtk.py:433:efface_tout;1
/usr/lib/python3.12/tkinter/__init__.py:4143:PhotoImage;1
/usr/lib/python3.12/platform.py:842:uname_result;1
/home/cedric-mc/public_html/BatailleBoules/avant/variantes.py:1:<module>;1
/usr/lib/python3.12/tkinter/constants.py:1:<module>;1
/home/cedric-mc/public_html/BatailleBoules/avant/upemtk.py:27:CustomCanvas;1
/home/cedric-mc/public_html/BatailleBoules/avant/upemtk.py:135:cree_fenetre;1
/usr/lib/python3.12/tkinter/__init__.py:2603:BaseWidget;1
/usr/lib/python3.12/tkinter/__init__.py:2754:__init__;1
/usr/lib/python3.12/tkinter/__init__.py:3499:Radiobutton;1
/usr/lib/python3.12/tkinter/__init__.py:3532:Scale;1
/usr/lib/python3.12/tkinter/__init__.py:1952:CallWrapper;1
/usr/lib/python3.12/tkinter/__init__.py:2674:Toplevel;1
/usr/lib/python3.12/tkinter/__init__.py:3196:Frame;1
/usr/lib/python3.12/tkinter/__init__.py:3216:Label;1
/usr/lib/python3.12/tkinter/__init__.py:3485:Menubutton;1
/usr/lib/python3.12/tkinter/__init__.py:3492:Message;1
/usr/lib/python3.12/tkinter/__init__.py:4028:_setit;1
/usr/lib/python3.12/tkinter/__init__.py:4227:BitmapImage;1
/usr/lib/python3.12/tkinter/__init__.py:4425:LabelFrame;1
/usr/lib/python3.12/ctypes/__init__.py:257:c_wchar_p;1
/usr/lib/python3.12/ctypes/__init__.py:241:c_char_p;1
/usr/lib/python3.12/ctypes/__init__.py:402:PyDLL;1
/usr/lib/python3.12/ctypes/_endian.py:23:_swapped_meta;1
/usr/lib/python3.12/ctypes/_endian.py:48:BigEndianStructure;1
/usr/lib/python3.12/ctypes/_endian.py:55:BigEndianUnion;1
/usr/lib/python3.12/tkinter/__init__.py:3110:Entry;1
/usr/lib/python3.12/tkinter/__init__.py:2320:Tk;1
/usr/lib/python3.12/tkinter/__init__.py:3061:Checkbutton;1
/usr/lib/python3.12/tkinter/__init__.py:3571:Scrollbar;1
/usr/lib/python3.12/tkinter/__init__.py:4449:PanedWindow;1
/usr/lib/python3.12/selectors.py:80:BaseSelector;1
