Fonction;ncalls
enum.py (__init__);75
enum.py (__call__);697
_compiler.py (_generate_overlap_table);1
enum.py (__set_name__);80
_parser.py (closegroup);6
_parser.py (__init__);18
_parser.py (append);20
_parser.py (get);326
_parser.py (seek);1
_parser.py (_uniq);6
_parser.py (__getitem__);65
enum.py (__setattr__);89
_parser.py (fix_flags);3
__init__.py (destroy);1
__init__.py (Grid);1
__init__.py (_create);1215
_parser.py (__next);388
_parser.py (opengroup);6
enum.py (__or__);1
enum.py (__and__);6
types.py (__init__);80
enum.py (_is_private);80
enum.py (_iter_bits_lsb);3
functools.py (wraps);1
__init__.py (<genexpr>);17
functools.py (__init__);1
__init__.py (find_spec);35
functools.py (__set_name__);1
_parser.py (__init__);3
_parser.py (getuntil);4
_compiler.py (_get_iscased);7
_parser.py (checkgroupname);4
__init__.py (<lambda>);32
<built-in method _tkinter._flatten>;2431
<built-in method _tkinter.create>;1
<method 'call' of '_tkinter.tkapp' objects>;99962
<method 'getvar' of '_tkinter.tkapp' objects>;2
<method 'getint' of '_tkinter.tkapp' objects>;11291
<method 'getboolean' of '_tkinter.tkapp' objects>;1380
<method 'splitlist' of '_tkinter.tkapp' objects>;1106
<method 'createcommand' of '_tkinter.tkapp' objects>;8
<method 'deletecommand' of '_tkinter.tkapp' objects>;8
<method 'disable' of '_lsprof.Profiler' objects>;1
